,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ArchWest Capital ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rate Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pricing by Product, Borrower Level,  Minimum Experience, and FICO Min",,,,,,,,,Purchase ,,,Purchase BF Rehab,,,Refinance LF Rehab,,,Bridge Purchase no Rehab,,,REFI,,,Bridge Cash out no Rehab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helper - PASTE HERE and Adjust From Here,,,,,,,,,,,,,,,,,,,,
,,Rates as of 5/14/2024,,,,,,,,,"Purchase (also Delayed Purchase) / 
Lender Financed Rehab*",,,"Purchase (also Delayed Purchase)  /  
Borrower Funded Rehab*",,,"Refinance / 
Lender Financed Rehab",,,"Bridge Loan
 Purchase (Also Delayed Purchase) / No Rehab",,,"Bridge Loan
Rate & Term Refinance
No Rehab",,,"Bridge Loan
Cash Out
No Rehab",,,,,Tier 1 ,,Tier 2,,Tier 3,,,,,,,,,,,,,,,,,,,,,,"Purchase (also Delayed Purchase) / 
Lender Financed Rehab*",,,"Purchase (also Delayed Purchase)  /  
Borrower Funded Rehab*",,,"Refinance / 
Lender Financed Rehab",,,"Bridge Loan
 Purchase (Also Delayed Purchase) / No Rehab",,,"Bridge Loan
Rate & Term Refinance
No Rehab",,,"Bridge Loan
Cash Out
No Rehab",,,,,
,,Product,Borrower Level,Min. Experience 36 mos.,Prod and Br,Min. FICO:,Qualification Key,Loan Amount Tier,Min. Loan:,Max. Loan:,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,Direct Origination Fee:**,InDirect Origination Fee:**,Tier 1,,Tier 2,,Tier 3,,,,Borrower Experience Calculator,,,Borrower Experience Calculator,,,,,,,,,,,,,,,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,,,
,,,,,,,,,,,Purchase LTV,Purchase LTARV,Purchase LTC,Purchase BF RehabLTV,Purchase BF RehabLTARV,Purchase BF RehabLTC,Refinance LF RehabLTV,Refinance LF RehabLTARV,Refinance LF RehabLTC,Bridge Purchase no RehabLTV,Bridge Purchase no RehabLTARV,Bridge Purchase no RehabLTC,REFILTV,REFILTARV,REFILTC,Bridge Cash out no RehabLTV,Bridge Cash out no RehabLTARV,Bridge Cash out no RehabLTC,Direct Origination,Indirect Origination,Tier 1,,Tier 2,,Tier 3,,,,Units Count in 36 mos,Experience Tier,,Min Experience,Min Experience Tier,,,,Helper - HF to Dig in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FNF,A,7,FNFA7,740,#N/A,4,"$3,500,000 ","$4,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.154%,9.154%,9.204%,9.204%,9.254%,9.254%,,,Experience,Tier,,Experience,Tier,,,,FNF,A,7,680,FNFA7680,680,FNFA7680,,,,82.5%,77.5%,85.0%,82.5%,77.5%,85.0%,82.5%,77.5%,85.0%,75.0%,77.5%,85.0%,75.0%,77.5%,85.0%,72.5%,70.0%,77.5%,,,
,,FNF,A,7,FNFA7,740,#N/A,3,"$2,000,000 ","$3,499,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,8.904%,8.904%,8.954%,8.954%,9.004%,9.004%,,,1000,A,,0,1,,,,FNF,A,7,700,FNFA7700,700,FNFA7700,,,,85.0%,80.0%,90.0%,85.0%,80.0%,90.0%,82.5%,80.0%,87.5%,77.5%,77.5%,87.5%,77.5%,77.5%,87.5%,72.5%,72.5%,80.0%,,,
,,FNF,A,7,FNFA7,740,#N/A,2,"$1,000,000 ","$1,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,8.654%,8.654%,8.704%,8.704%,8.754%,8.754%,,,10,A,,2,1,,,,FNF,A,7,720,FNFA7720,720,FNFA7720,,,,85.0%,80.0%,90.0%,85.0%,80.0%,90.0%,85.0%,80.0%,87.5%,80.0%,80.0%,87.5%,80.0%,80.0%,87.5%,75.0%,75.0%,80.0%,,,
